O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
15.2,-13.43,-0.23,23.11,-4.34,7.02,33.0,16.8,38.52,21.35,3
-12.82,-22.85,1.99,-2.61,16.12,21.78,32.94,34.52,38.58,33.65,3
11.0,23.03,-4.25,22.24,-19.62,28.11,42.46,42.07,22.4,37.69,3
-11.52,4.59,20.72,-2.31,-19.48,39.52,27.85,25.81,21.79,39.63,3
-22.09,-8.42,2.42,-6.25,21.25,37.22,17.3,33.17,41.96,30.51,3
1.89,9.4,-1.81,-22.69,19.29,43.91,36.99,33.31,41.43,42.98,3
16.65,21.63,0.78,0.25,-21.7,41.94,25.39,15.5,41.93,29.52,3
20.57,-22.69,-10.75,12.35,-17.06,28.75,34.83,34.63,29.83,43.71,3
14.7,-7.68,-23.18,-4.74,21.56,19.66,24.93,42.41,39.51,33.2,3
-16.5,23.09,-5.92,4.56,21.38,16.65,40.38,20.63,15.76,26.83,3
-15.41,13.44,-8.69,-21.97,22.99,33.29,19.5,18.49,26.32,39.61,3
20.9,8.27,1.83,-7.64,-23.2,40.91,32.8,39.23,13.74,42.83,3
-22.3,-22.83,19.16,5.04,-12.24,42.17,30.61,24.59,14.7,18.93,3
5.25,-16.65,-19.41,-9.4,22.58,16.99,40.85,24.59,35.97,30.62,3
23.54,7.43,17.85,-21.97,-15.61,39.28,18.08,24.04,32.07,43.95,3
22.5,10.58,-18.01,-0.01,12.8,43.29,43.08,25.65,41.66,17.41,3
-10.07,-5.67,-22.58,1.29,-22.3,47.81,16.87,43.19,43.26,30.49,3
17.86,-5.3,-23.73,4.88,1.48,33.44,28.52,41.15,41.47,11.35,3
-10.65,-5.78,22.36,-22.01,9.44,42.29,37.8,39.82,33.13,18.69,3
1.24,-0.88,19.65,-22.77,-16.56,36.43,15.0,22.5,42.85,23.1,3
-18.4,1.11,19.49,-13.24,-22.36,24.87,22.47,42.4,9.62,40.78,3
-9.56,9.54,-10.73,22.86,-21.35,5.07,16.56,46.46,40.44,38.96,3
-16.65,-12.48,-23.2,7.06,23.14,35.33,17.78,41.7,18.28,37.93,3
-4.43,12.89,22.98,2.22,-22.26,48.05,18.86,42.38,34.77,38.41,3
-17.56,16.02,0.4,-19.89,-3.49,40.14,22.78,27.57,11.83,38.4,3
-23.16,-22.16,-4.75,13.36,3.19,44.07,30.0,17.98,10.29,41.48,3
22.09,14.75,22.87,7.54,-14.63,25.59,2.08,43.41,46.93,32.54,3
1.3,16.67,-1.56,-22.36,-18.18,11.08,29.98,44.08,39.16,24.68,3
-10.87,1.24,-22.87,2.79,21.75,16.95,17.35,37.89,22.79,39.41,3
21.66,-1.3,15.42,-22.17,7.46,39.4,35.15,29.23,34.62,18.13,3
21.62,-18.77,4.2,-2.53,-21.44,29.17,22.21,13.49,42.51,33.31,3
11.0,-3.08,-22.91,17.25,-20.23,28.29,17.34,40.94,14.15,21.18,3
12.49,-22.86,-8.18,8.72,3.75,24.56,44.52,32.89,44.36,18.15,3
-16.33,21.03,3.69,6.45,-23.27,17.27,32.08,42.77,15.08,37.08,3
-2.29,-13.89,-8.85,14.66,23.06,43.25,19.4,39.79,21.24,39.22,3
16.46,4.87,-3.07,-18.58,23.2,21.05,28.51,40.9,26.8,39.92,3
7.27,8.96,-7.07,22.44,11.17,45.77,40.55,3.06,37.92,14.15,3
22.02,-23.06,-2.48,11.93,17.96,30.2,29.8,16.15,13.24,40.33,3
-9.43,-23.2,-22.25,-1.05,19.55,15.31,33.08,26.45,28.96,20.56,3
-23.17,-0.87,-17.29,-21.46,-16.47,42.36,13.88,34.63,25.43,13.67,3
-4.93,-12.46,22.83,4.25,2.49,27.57,11.09,37.15,43.23,4.26,3
7.92,-22.58,11.62,-18.03,14.75,2.38,43.26,40.38,16.42,36.24,3
1.36,22.49,-11.7,-20.69,7.39,16.18,29.48,28.89,34.74,38.08,3
-20.12,-0.37,-21.0,18.69,19.98,21.44,16.3,39.16,22.66,44.02,3
1.0,-22.92,-14.65,12.02,-4.45,16.09,35.96,19.63,34.08,37.35,3
-22.29,-2.51,-1.01,-17.66,22.12,37.84,13.57,27.69,24.43,28.12,3
-11.18,19.05,9.01,-21.09,0.43,18.48,31.16,38.55,29.73,17.27,3
-23.47,-12.9,-0.34,3.67,21.9,35.58,46.39,40.09,15.58,35.83,3
-19.16,5.06,4.21,-19.13,23.2,25.24,15.82,42.53,39.51,38.18,3
22.91,-17.8,1.38,19.7,6.49,42.57,28.57,38.54,26.42,14.21,3
-13.01,-8.42,9.03,6.02,-22.88,18.83,30.4,42.83,6.48,42.83,3
23.73,9.86,-0.26,-22.23,-12.67,36.14,19.15,29.4,38.29,20.16,3
10.02,-13.54,1.52,22.69,-20.08,18.09,19.75,29.43,33.42,39.86,3
4.38,-22.33,-8.24,23.06,-14.38,15.11,37.08,37.56,39.84,23.24,3
17.88,-8.82,3.63,-23.37,-9.16,20.49,33.1,25.64,39.95,42.48,3
-1.23,-4.98,6.37,-17.95,18.63,5.53,40.33,26.53,24.66,39.33,3
20.33,2.7,-2.24,23.24,1.22,16.77,7.16,40.51,37.74,34.02,3
-23.32,7.28,-8.54,22.0,-8.46,39.36,20.93,43.81,37.88,31.6,3
-23.59,21.66,11.48,-5.72,5.55,35.0,35.8,21.66,16.42,35.48,3
15.25,-8.25,-22.37,22.51,-12.35,21.15,21.64,33.21,41.44,22.79,3
10.08,1.95,19.98,-1.78,-23.15,31.44,32.08,37.54,11.53,39.75,3
2.03,6.2,-1.97,22.46,-19.68,13.46,47.37,29.23,41.42,21.66,3
-4.13,22.96,8.96,0.09,12.13,17.02,39.49,29.42,33.14,8.54,3
-9.57,22.42,-12.57,13.99,-23.25,16.27,38.98,41.54,11.04,42.1,3
0.39,-21.84,-22.18,12.67,21.02,16.26,24.46,41.02,36.47,21.96,3
17.53,6.54,-13.38,-22.65,-13.35,25.55,40.49,31.84,39.29,20.48,3
-5.91,4.33,-22.42,-15.04,18.25,26.81,40.9,41.5,15.96,24.78,3
14.14,-11.85,-22.99,-0.37,22.69,10.3,18.82,41.22,39.23,38.06,3
-12.29,21.2,-22.58,-2.02,-11.33,42.67,37.87,31.5,37.72,19.87,3
4.73,18.72,20.88,0.85,-22.27,30.49,22.47,40.56,16.54,37.2,3
22.03,19.93,-3.09,1.8,-22.86,40.95,26.73,34.09,20.93,39.27,3
22.52,9.31,-16.94,-1.21,-21.71,40.23,28.27,12.36,8.73,39.45,3
